Candidate,Match,Status,Action
ATS_Optimized_Resume_2_Sneha_Sharma.pdf,36%,🟡 AI Modified,Added 20 skills & Reformatted
ATS_Optimized_Resume_3_Rahul_Verma.pdf,36%,🟡 AI Modified,Added 20 skills & Reformatted
ATS_Optimized_Resume_4_Ayesha_Khan.pdf,31%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_5_Machine_Learning_Engineer - Copy.pdf,23%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_19_Machine_Learning_Engineer - Copy.pdf,23%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_19_Machine_Learning_Engineer.pdf,23%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_1_Arjun_Reddy.pdf,22%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_10_Software_Engineer - Copy.pdf,19%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_6_AI_Engineer - Copy.pdf,18%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_7_AI_Engineer - Copy.pdf,18%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_15_AI_Engineer - Copy.pdf,18%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_8_Data_Analyst - Copy.pdf,16%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_13_Data_Analyst - Copy.pdf,16%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_17_Cloud_Support_Engineer - Copy.pdf,16%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_18_Data_Analyst - Copy.pdf,16%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_18_Data_Analyst.pdf,16%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_20_Cloud_Support_Engineer - Copy.pdf,16%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_20_Cloud_Support_Engineer.pdf,16%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_12_DevOps_Engineer - Copy.pdf,15%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_1_Frontend_Developer - Copy - Copy - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_1_Frontend_Developer - Copy - Copy (2).pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_1_Frontend_Developer - Copy (2) - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_1_Frontend_Developer - Copy (3).pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_2_Cybersecurity_Analyst - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_3_Frontend_Developer - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_4_Business_Analyst - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_9_Business_Analyst - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_11_Cybersecurity_Analyst - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_14_Business_Analyst - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Candidate_16_Business_Analyst - Copy.pdf,13%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_8_Meera_Iyer.pdf,9%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_7_Karan_Mehta.pdf,8%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_10_Fatima_Ali.pdf,8%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_2_Sneha_Sharma.pdf,6%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_3_Rahul_Verma.pdf,6%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_5_Vikram_Patel.pdf,6%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_6_Priya_Nair.pdf,6%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_9_Rohit_Singh.pdf,4%,🟡 AI Modified,Added 20 skills & Reformatted
Resume_4_Ayesha_Khan.pdf,2%,🟡 AI Modified,Added 20 skills & Reformatted
